image_name, car_x, car_y, car_w, car_h, road_x, road_y, road_w, road_h
frame_0.png, 0, 0, 0, 0, 6, 45, 43, 39
frame_1.png, 0, 0, 0, 0, 0, 38, 49, 54
frame_2.png, 0, 0, 0, 0, 0, 31, 49, 53
frame_3.png, 0, 0, 0, 0, 0, 24, 49, 60
frame_4.png, 0, 0, 0, 0, 0, 43, 49, 41
frame_5.png, 0, 0, 0, 0, 0, 42, 50, 42
frame_6.png, 0, 0, 0, 0, 0, 39, 50, 45
frame_7.png, 0, 0, 0, 0, 0, 36, 50, 48
frame_8.png, 0, 0, 0, 0, 0, 33, 51, 51
frame_9.png, 0, 0, 0, 0, 0, 29, 51, 55
frame_10.png, 0, 0, 0, 0, 0, 26, 52, 58
frame_11.png, 0, 0, 0, 0, 0, 23, 53, 61
frame_12.png, 0, 0, 0, 0, 0, 19, 53, 65
frame_13.png, 0, 0, 0, 0, 0, 15, 54, 69
frame_14.png, 0, 0, 0, 0, 0, 12, 55, 72
frame_15.png, 0, 0, 0, 0, 0, 8, 56, 76
frame_16.png, 0, 0, 0, 0, 0, 4, 57, 80
frame_17.png, 0, 0, 0, 0, 0, 0, 58, 84
frame_18.png, 0, 0, 0, 0, 0, 0, 60, 84
frame_19.png, 0, 0, 0, 0, 0, 0, 61, 84
frame_20.png, 0, 0, 0, 0, 5, 0, 57, 84
frame_21.png, 0, 0, 0, 0, 14, 0, 50, 84
frame_22.png, 0, 0, 0, 0, 22, 0, 43, 84
frame_23.png, 0, 0, 0, 0, 28, 0, 39, 84
frame_24.png, 0, 0, 0, 0, 34, 0, 34, 84
frame_25.png, 0, 0, 0, 0, 39, 0, 30, 84
frame_26.png, 0, 0, 0, 0, 40, 0, 30, 84
frame_27.png, 0, 0, 0, 0, 40, 0, 31, 84
frame_28.png, 0, 0, 0, 0, 40, 0, 32, 84
frame_29.png, 0, 0, 0, 0, 40, 0, 33, 84
frame_30.png, 0, 0, 0, 0, 40, 0, 33, 84
frame_31.png, 0, 0, 0, 0, 40, 0, 33, 84
frame_32.png, 0, 0, 0, 0, 40, 0, 33, 84
frame_33.png, 0, 0, 0, 0, 40, 0, 33, 84
frame_34.png, 46, 68, 4, 8, 40, 0, 33, 84
frame_35.png, 46, 68, 4, 8, 40, 0, 33, 84
frame_36.png, 46, 68, 4, 8, 40, 0, 32, 84
frame_37.png, 46, 68, 4, 8, 40, 0, 32, 84
frame_38.png, 46, 68, 4, 8, 40, 0, 31, 84
frame_39.png, 46, 68, 4, 8, 40, 0, 30, 84
frame_40.png, 46, 67, 4, 9, 41, 0, 29, 84
frame_41.png, 46, 67, 4, 9, 41, 0, 28, 84
frame_42.png, 46, 67, 4, 9, 41, 0, 27, 84
frame_43.png, 46, 67, 4, 10, 41, 0, 27, 84
frame_44.png, 46, 67, 4, 10, 41, 0, 26, 84
frame_45.png, 46, 67, 4, 10, 41, 0, 26, 84
frame_46.png, 46, 67, 4, 10, 41, 0, 25, 84
frame_47.png, 46, 67, 4, 10, 41, 0, 25, 84
frame_48.png, 46, 67, 4, 10, 41, 0, 24, 84
frame_49.png, 46, 67, 4, 10, 41, 0, 23, 84
frame_50.png, 46, 67, 4, 10, 41, 0, 22, 84
frame_51.png, 46, 67, 4, 10, 41, 0, 22, 84
frame_52.png, 46, 67, 4, 10, 41, 0, 21, 84
frame_53.png, 46, 67, 4, 10, 41, 0, 21, 84
frame_54.png, 46, 67, 4, 10, 40, 0, 22, 84
